DATE;NBKILLS;WEAPON;KILLSPERMIN;KILLSPERSEC;SHOTPERKILL
20191118210857;100;DEAGLE;11;0,18;3,68
20191123191627;100;DEAGLE;41,45;0,69;1,13
20191124195548;100;DEAGLE;42,43;0,7;1,39
20200410185903;100;USP-S;53,37;0,88;1,21
20200411202932;100;USP-S;52,1;0,86;1,24
20200414205312;100;USP-S;51,61;0,86;1,23
20200420211046;100;USP-S;52,99;0,88;1,32
20200421131131;100;USP-S;58,81;0,98;1,19
20200424170712;1000;USP-S;51,78;0,86;2,29
20200427184012;500;DEAGLE;41,8;0,69;1,45
20200427185147;500;USP-S;54,43;0,9;2,18
20200428192024;100;DEAGLE;45,01;;0,75;1,32
20200429193702;500;DEAGLE;48,23;0,8;1,2
20200429202510;100;USP-S;51,39;0,85;1,16
20200501235454;100;USP-S;57,2;0,95;1,24
20200502012138;500;USP-S;58,31;0,97;1,95
20200504203438;100;DEAGLE;44,43;0,74;1,26
20200509205810;250;USP-S;54,91;0,91;1,15
20200509210344;100;USP-S;21,18;0,35;6,08
20200510205705;100;USP-S;58,5;0,97;1,52
20200516194756;500;USP-S;45,1;0,75;1,85
20200518210024;100;USP-S;49,88;0,83;1,16
20200518211137;100;GLOCK-18;39;09;0,65;1,75
20200518211434;100;DEAGLE;49,33;0,82;1,3
