DATE;NBKILLS;WEAPON;FINISHEDIN;KILLSPERMIN;HIGHESTKILLSPERMIN;KILLSPERSEC;SHOTPERKILL
20191118210857;100;DEAGLE;09:05;11;19.37;0.18;3.68
20191123191627;100;DEAGLE;02:25;41.45;43.68;0.69;1.13
20191124195548;100;DEAGLE;02:21;42.43;49.3;0.7;1.39
20191204204333;100;AK-47;02:01;49.61;60.95;0.82;1.91
20200410185903;100;USP-S;01:52;53.37;62.72;0.88;1.21
20200411202932;100;USP-S;01:55;52.1;75.95;0.86;1.24
20200414205312;100;USP-S;01:56;51.61;52.81;0.86;1.23
20200420211046;100;USP-S;01:53;52.99;58.41;0.88;1.32
20200420211232;100;AK-47;01:37;61.78;67.82;1.02;2.61
20200421131131;100;USP-S;01:42;58.81;63.18;0.98;1.19
20200424170712;1000;USP-S;19:18;51.78;65.93;0.86;2.29
20200427184012;500;DEAGLE;11:57;41.8;43.16;0.69;1.45
20200427185147;500;USP-S;09:11;54.43;94.03;0.9;2.18
20200428192024;100;DEAGLE;02:13;45.01;64;0.75;1.32
20200428192304;100;AK-47;01:42;58.58;80.09;0.97;1.29
20200429193702;500;DEAGLE;10:22;48.23;55.51;0.8;1.2
20200429202510;100;USP-S;01:57;51.39;65.92;0.85;1.16
20200501235454;100;USP-S;01:45;57.2;60.04;0.95;1.24
20200502012138;500;USP-S;08:34;58.31;65.51;0.97;1.95
20200504203438;100;DEAGLE;02:15;44.43;44.77;0.74;1.26
20200509205810;250;USP-S;04:33;54.91;60.62;0.91;1.15
20200509210344;100;USP-S;04:43;21.18;22.52;0.35;6.08
20200510205705;100;USP-S;01:42;58.5;69.87;0.97;1.52
20200516194756;500;USP-S;11:05;45.1;66.78;0.75;1.85
20200518210024;100;USP-S;02:00;49.88;54.9;0.83;1.16
20200518211137;100;GLOCK-18;02:33;39;09;39.17;0.65;1.75
20200518211434;100;DEAGLE;02:02;49.33;54.77;0.82;1.3
