DATE;NBKILLS;WEAPON;FINISHEDIN;KILLSPERMIN;HIGHESTKILLSPERMIN;KILLSPERSEC;SHOTPERKILL
20191118210857_1;100;DEAGLE;09:05:32;11;19.37;0.18;3.68
20191123191627_1;100;DEAGLE;02:24:72;41.45;43.68;0.69;1.13
20191124195548_1;100;DEAGLE;02:21:39;42.43;49.3;0.7;1.39
20191204204333_1;100;AK;02:00:93;49.61;60.95;0.82;1.91
20200410185903_1;100;USP;01:52:42;53.37;62.72;0.88;1.21
20200411202932_1;100;USP;01:55:14;52.1;75.95;0.86;1.24
20200414205312_1;100;USP;01:56:23;51.61;52.81;0.86;1.23
20200420211046_1;100;USP;01:53:23;52.99;58.41;0.88;1.32
20200420211232_1;100;AK;01:37:11;61.78;67.82;1.02;2.61
20200421131131_1;100;USP;01:42:02;58.81;63.18;0.98;1.19
20200424170712_1;1000;USP;19:18:66;51.78;65.93;0.86;2.29
20200427184012_1;500;DEAGLE;11:57:62;41.8;43.16;0.69;1.45
20200427185147_1;500;USP;09:11:10;54.43;94.03;0.9;2.18


